,id,number_of_seasons,number_of_episodes,vote_count,vote_average,popularity,episode_run_time
229,79240,1,10,920,7.489,20.724,50
230,73021,3,50,917,7.51,78.979,28
231,92967,2,64,915,8.063,160.531,50
232,39852,4,32,914,7.5,77.089,45
233,91557,3,18,914,7.929,68.631,0
234,89905,1,12,907,8.073,23.726,30
235,63210,3,55,902,7.579,152.284,42
236,93812,3,30,898,8.17,41.573,56
237,80350,5,89,886,8.457,82.186,43
238,64513,3,29,875,7.565,26.496,0
239,66276,1,8,875,7.966,18.246,60
240,80169,3,33,862,7.8,16.551,30
241,82747,2,26,861,7.2,15.91,23
242,61859,2,6,860,7.8,20.208,59
243,70593,2,12,860,8.292,27.718,51
244,83125,1,10,858,7.274,19.93,60
245,110290,1,3,853,6.4,12.795,0
246,97513,3,22,850,7.532,34.943,50
247,64122,2,20,844,7.0,31.326,45
248,83867,1,12,843,8.2,60.525,0
249,67133,5,94,840,7.323,100.462,42
250,89901,3,30,834,8.574,26.941,30
251,98387,1,26,833,7.438,12.066,50
252,76331,4,39,833,8.244,65.987,65
253,95396,2,9,825,8.396,47.811,0
254,67026,3,53,821,7.182,60.985,42
255,67466,3,33,818,7.468,39.48,50
256,72002,5,108,816,8.151,48.46,43
257,63767,1,16,814,8.248,22.713,60
258,96316,1,36,811,8.51,140.552,25
259,66330,1,16,808,8.498,26.081,60
260,105971,2,32,808,8.285,68.1,0
261,99071,1,12,806,8.468,62.323,24
262,127235,2,20,800,7.29,246.379,0
263,80564,1,24,797,8.6,22.832,23
264,71663,4,58,797,7.091,31.776,45
265,86374,3,24,796,7.339,60.95,47
266,65820,5,65,796,7.076,62.464,42
267,108978,1,8,795,8.034,113.485,50
268,96160,1,12,791,8.546,17.437,57
269,95601,2,16,790,8.3,16.632,50
270,95403,1,8,789,7.918,66.535,0
271,93846,1,16,786,8.424,39.493,72
272,83639,2,21,785,8.526,42.191,0
273,117376,1,20,775,8.585,44.475,81
274,106651,2,6,775,7.465,30.608,52
275,64196,4,52,773,8.533,56.142,24
276,62852,7,84,770,7.729,176.267,60
277,94664,2,48,768,8.6,308.689,24
278,82104,2,20,762,7.771,38.974,50
279,65294,3,25,761,7.348,52.772,52
280,110070,1,13,757,8.583,46.492,24
281,96713,1,8,756,8.318,18.161,201
282,61888,4,67,753,6.899,136.577,22
283,110642,1,4,753,7.747,23.849,26
284,113036,3,19,753,7.9,61.692,45
285,85801,4,38,752,8.01,23.489,0
286,66398,1,114,747,7.2,21.781,40
287,119243,3,33,742,7.668,67.73,25
288,74387,3,36,742,8.427,27.343,22
289,69291,2,25,738,8.4,39.146,24
290,75191,2,20,736,7.307,27.894,44
291,62687,1,22,734,7.3,21.349,45
292,114472,1,6,732,7.1,160.928,0
293,82700,3,18,728,7.883,24.21,50
294,65988,4,49,727,7.95,32.784,44
295,68349,1,16,722,8.642,25.192,60
296,54155,3,22,719,7.508,34.782,50
297,110356,1,8,715,8.283,25.525,50
298,100757,4,30,715,8.445,34.516,49
299,80748,5,100,711,8.0,118.377,43
300,93149,1,24,711,8.357,26.217,23
301,87623,3,69,708,7.77,63.341,120
302,80307,1,6,708,7.838,29.857,60
303,124364,2,20,707,8.225,219.535,52
304,88040,1,11,703,8.57,14.62,23
305,90660,2,36,703,8.344,345.785,23
306,73107,4,32,700,7.933,32.021,0
307,53425,2,20,700,6.832,21.008,43
308,62704,5,47,699,6.7,119.436,30
309,62425,3,39,699,6.7,26.29,43
310,73411,1,10,698,7.405,14.196,0
311,61733,6,102,697,7.184,52.076,43
312,75214,1,13,694,8.6,36.663,25
313,81355,1,4,693,8.23,21.45,75
314,70453,1,8,691,7.747,15.912,60
315,68595,1,6,687,8.5,16.994,50
316,88236,3,18,685,8.062,19.746,30
317,76231,5,50,684,8.101,92.797,52
318,132559,7,45,681,7.236,27.055,24
319,79732,5,52,679,8.562,51.462,24
320,65320,4,43,675,8.282,28.138,15
321,130392,3,26,672,4.965,26.772,0
322,120911,1,8,671,8.2,36.502,60
323,116135,2,16,671,7.851,59.232,51
324,112163,1,12,668,8.371,25.928,25
325,67773,2,18,667,7.741,20.743,42
326,79410,3,18,666,7.893,25.455,30
327,62273,5,86,666,8.527,21.975,24
328,97400,1,7,664,7.525,21.999,64
329,105556,2,24,661,8.249,33.881,24
330,88055,4,40,661,7.629,37.751,30
331,84977,2,15,659,7.432,17.68,30
332,82684,2,48,659,8.565,32.312,24
333,65143,1,16,658,8.402,32.276,60
334,111110,1,8,655,8.25,452.425,0
335,95269,1,12,653,8.621,22.818,24
336,83121,3,37,652,8.625,52.546,24
337,94280,1,20,649,8.178,51.993,11
338,65555,2,74,648,7.785,63.325,120
339,68315,1,10,647,6.2,37.386,40
340,95281,1,8,646,7.176,23.842,31
341,62428,1,13,643,7.939,30.374,24
342,96203,1,13,643,8.183,16.999,24
343,97727,1,18,643,8.185,83.77,28
344,74682,1,32,641,8.3,15.903,35
345,70796,5,43,639,8.1,33.129,0
346,67116,3,55,638,7.299,99.742,43
347,67135,2,20,637,7.3,30.178,44
348,113901,1,10,637,7.477,16.059,60
349,67126,2,24,636,8.3,17.81,24
350,98123,4,39,635,8.505,83.372,18
351,66786,2,26,633,7.254,34.572,43
352,114695,2,42,631,7.425,143.081,8
353,84669,2,24,630,8.519,50.751,24
354,86836,1,12,629,8.5,26.361,12
355,83659,1,8,624,7.651,45.348,0
356,68734,2,85,623,7.648,132.75,45
357,99778,1,13,622,8.342,20.864,24
358,98754,2,120,620,8.221,43.158,45
359,67683,3,34,618,7.591,46.371,45
360,76747,4,38,618,8.461,16.979,30
361,93484,1,8,617,7.097,21.219,45
362,96557,1,6,616,6.919,9.347,50
363,47450,3,32,616,7.59,40.385,43
364,68878,2,200,614,7.34,103.564,45
365,90814,1,10,612,8.185,16.967,55
366,68716,1,8,612,6.015,22.954,43
367,83851,1,6,611,7.473,16.574,60
368,69470,3,30,611,7.458,27.258,30
369,90855,2,24,611,7.4,38.04,23
370,86850,1,3,608,7.031,21.612,90
371,67557,5,44,608,7.91,32.13,60
372,97617,2,25,605,8.5,106.318,24
373,73321,1,24,602,7.6,15.421,20
374,112836,1,12,601,7.9,46.292,0
375,80828,1,6,594,8.139,16.732,52
376,65495,4,41,593,8.024,31.339,0
377,104819,2,16,593,7.315,17.49,0
378,104555,1,6,593,7.269,9.143,48
379,82816,1,10,592,7.242,16.824,60
380,62816,3,57,586,6.551,29.217,43
381,197067,1,16,585,8.482,42.923,70
382,111803,2,13,583,7.642,49.994,60
383,72517,2,25,579,8.5,36.132,24
384,66857,3,31,579,7.2,37.831,42
385,98034,1,67,575,7.5,27.803,24
386,86382,1,9,575,6.97,19.122,0
387,64706,1,12,572,8.162,28.95,24
388,79008,3,27,570,8.008,12.814,60
389,106541,1,4,569,6.828,44.006,0
390,77240,2,54,568,8.204,215.937,24
391,96580,2,26,566,7.977,61.099,45
392,136315,2,18,565,8.27,94.788,0
393,68129,1,12,559,8.574,15.354,23
394,111141,1,10,558,7.996,24.969,0
395,117488,2,19,552,7.582,44.784,57
396,85922,2,17,552,6.594,35.088,30
397,90282,3,30,549,7.89,167.625,0
398,111499,3,30,548,8.065,11.116,46
399,79434,1,16,545,8.393,22.07,60
400,106292,1,9,541,8.519,17.544,30
401,94796,1,16,541,8.607,46.808,85
402,79141,4,40,538,8.606,112.836,15
403,64684,1,3,536,7.577,17.948,60
404,66190,2,20,534,7.29,12.968,44
405,88640,1,8,534,7.9,65.843,50
406,87763,2,21,532,7.7,18.439,70
407,99581,1,4,532,7.851,11.637,54
408,63145,1,13,531,8.427,17.343,24
409,88803,2,48,529,8.572,14.224,25
410,62649,6,113,529,7.583,52.116,22
411,96777,1,8,527,7.8,25.069,45
412,125988,1,10,527,8.247,114.407,0
413,83631,5,50,527,7.987,65.691,0
414,93785,2,12,527,7.385,25.12,45
415,70637,1,12,526,8.536,21.39,24
416,86034,3,27,525,8.551,6.546,24
417,62858,3,36,522,6.872,23.815,43
418,84452,1,13,522,7.3,10.518,41
419,87527,2,16,521,8.3,22.753,55
420,81046,5,45,517,8.284,39.584,26
421,62822,3,24,516,7.5,24.093,46
422,82809,2,171,513,7.5,88.917,0
423,107124,3,123,512,8.55,79.852,12
424,79818,1,49,512,8.496,30.018,45
425,88061,1,12,510,7.8,9.539,22
426,71715,4,50,509,7.998,52.352,42
427,83596,1,90,509,7.8,97.913,60
428,71769,2,18,503,7.613,24.677,48
429,123249,1,12,500,8.5,48.7,24
430,62517,3,39,499,6.7,39.441,43
431,75208,1,10,498,7.845,21.44,25
432,87917,4,40,497,7.704,54.846,0
433,71116,2,20,494,7.261,32.613,60
434,63623,5,75,493,7.515,37.516,30
435,114501,1,5,492,7.42,21.321,10
436,81349,1,8,492,7.4,12.275,52
437,99588,2,62,490,7.2,185.941,12
438,91275,1,8,490,8.041,22.296,0
439,88516,2,6,488,7.482,24.54,50
440,77236,3,25,487,7.922,27.187,43
441,84647,1,10,485,7.602,18.305,50
442,194766,3,15,485,8.281,131.378,45
443,86848,4,37,484,7.805,56.766,43
444,136283,1,16,482,8.5,60.815,47
445,79622,2,18,482,7.341,25.534,60
446,90447,1,16,480,8.556,38.174,70
447,96444,1,12,476,7.964,60.233,23
448,99494,1,16,473,8.208,24.498,70
